AT;#;Classification;Attack Line Content;Description;Correct Attack Type?
DNSteal;1;Reconnaissance;"IDS: “Unusual occurrence frequencies of query records in DNS logs.”, “Frequency anomaly detected”,
Raw Data: “dnsmasq[14522]: query[A] mail.price.fox.org from [IP]”";Classification probably based on low frequency of A record queries;Too generic
Service Scans;3;"Brute Force,
Credential Access";"IDS: “New event type.”, “New path(es) detected”
Raw Data: “taylorcruz-mail dovecot: imap-login: Disconnected (no auth attempts in 0 secs): user=<>, rip=192.168.130.77, lip=192.168.128.195, session=<hifuP9rVVNbAqIJN>”";Classification probably based on IMAP login without authentication attempt;Alternate explanation for alert
Service Scans;4;Network Scanning;"IDS: “New event type.”, “New path(es) detected”,
Raw Data: “no host name found for IP address [IP]”";Classification probably based on reverse DNS lookup;Correct & expressive
Service Scans;7;"Web Application Discovery,
Unauthorized Access Attempt";"IDS: “New event type.”, “New path(es) detected”, 
Raw Data: “AH01630: client denied by server configuration: /var/www/html/”";Classification probably based on attempted access to root directory;Alternate explanation for alert
Service Scans;1;"Encrypted Channel Misuse,
Network Scanning";"IDS: “New event type.”, “New path(es) detected”, 
Raw Data: “TLS error on connection from [192.168.130.77] (gnutls_handshake): An unexpected TLS packet was received.”";Classification probably based on protocol name TLS and unexpected TLS packet sent (indicating scanning behavior);Correct & expressive
Service Scans;4;Service Enumeration;"IDS: “New status code in Apache Access log.”, “New value(s) detected”, 
Raw Data: “GET /nmaplowercheck1642508249 HTTP/1.1 403 363 - Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)”";Classification probably based on tool name nmap;Correct & expressive
Service Scans;1;Web Server Fingerprinting;"IDS: “New status code in Apache Access log.”, “New value(s) detected”, 
Raw Data: “GET / HTTP/1.0 403 363 - - ”";Classification probably based on http status code 403, tool name apache and attempted access to /;Alternate explanation for alert
WPScan;1;Vulnerability Scanning;"IDS: “New status code in Apache Access log.”, “New value(s) detected”, 
Raw Data: “GET /wp-content/plugins/akismet/ HTTP/1.1 403 3362 https://intranet.price.fox.org WPScan v3.8.20 (https://wpscan.com/wordpress-security-scanner)”";Classification probably based on tool name WPScan and http status code 403;Correct & expressive
WPScan;2;Vulnerability Scanning;"IDS: “New request method in Apache Access log.”, “New value(s) detected”
Raw Data: “HEAD /wp-content/plugins/analytics-for-wp/ HTTP/1.1 404 146 https://intranet.price.fox.org WPScan v3.8.20 (https://wpscan.com/wordpress-security-scanner)”";Classification probably based on tool name WPScan and http status code 404;Correct & expressive
WPScan;7;"Web Application Scanning,
Reconnaissance";"IDS: “New request method in Apache Access log.”, “New value(s) detected”
Raw Data: “HEAD /wp-content/plugins/animated-typing-effect/ HTTP/1.1 404 146 https://intranet.price.fox.org WPScan v3.8.20 (https://wpscan.com/wordpress-security-scanner)”";Classification probably based on tool name WPScan and attempted access to plugin directory;Correct & expressive
