AT;#;Classification;Attack Line Content;Description;Correct Attack Type?
DNSteal;6;"Command and Control, 
Exfiltration";"IDS: “High entropy in DNS domain”, “Value entropy anomaly detected”
Raw Data: dnsmasq[14460]: query[A] youtu.be from [IP]";Classification probably based on protocol name DNS and high entropy in DNS domain;Alternate explanation for alert
Service Scans;2;"Web Application Attack, 
Reconnaissance";"IDS: “New event type”, “New path(es) detected”
Raw Data: “AH01630: client denied by server configuration: /var/www/html/”";Classification probably based on attempted access to web server root directory;Too generic
Service Scans;1;"Reconnaissance, 
Network Scanning";"IDS: “New event type.”, “New path(es) detected”
Raw Data: “TLS error on connection from [192.168.130.77] (gnutls_handshake): An unexpected TLS packet was received.”";Classification probably based on protocol name TLS;Correct & expressive
Service Scans;4;"Reconnaissance, 
Network Scanning";"IDS: “New status code in Apache Access log.”, “New value(s) detected”, 
Raw Data: “GET /nmaplowercheck1642508249 HTTP/1.1 403 363 - Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)”";Classification probably based on tool name nmap and http status code 403;Correct & expressive
Service Scans;1;"Reconnaissance, 
Network Scanning";"IDS: “New status code in Apache Access log.”, “New value(s) detected”, 
Raw Data: “GET / HTTP/1.0 403 363 - - ”";Classification probably based on http status code 403;Correct & expressive
Service Scans;3;"Reconnaissance, 
Vulnerability Scanning";"IDS: “New event type.”, “New path(es) detected”,
Raw Data: “AH01630: client denied by server configuration: /var/www/html/HNAP1”";Classification probably based on attempted access to web server root directory;Correct & expressive
Service Scans;2;"Reconnaissance, 
Network Scanning";"IDS: “New event type.”, “New path(es) detected”,
Raw Data: “AH01630: client denied by server configuration: /var/www/html/HNAP1”";Classification probably based on attempted access to web server root directory;Correct & expressive
WPScan;1;"Reconnaissance, 
Vulnerability Scanning";"IDS: “New status code in Apache Access log.”, “New value(s) detected”,
Raw Data: “GET /wp-content/plugins/akismet/ HTTP/1.1 403 3362 https://intranet.price.fox.org WPScan v3.8.20 (https://wpscan.com/wordpress-security-scanner)”";Classification probably based on tool name WPScan and http status code 403;Correct & expressive
WPScan;14;"Reconnaissance, 
Vulnerability Scanning";"IDS: “New request method in Apache Access log.”, “New value(s) detected”,
Raw Data: “HEAD /wp-content/plugins/analytics-for-wp/ HTTP/1.1 404 146 https://intranet.price.fox.org WPScan v3.8.20 (https://wpscan.com/wordpress-security-scanner)”";Classification probably based on tool name WPScan and http status code 404;Correct & expressive
Dirb;2;"Reconnaissance, 
Credential Access";"IDS: “New status code in Apache Access log.”, “New value(s) detected”,
Raw Data: “GET /javascript/jquery/.htpasswd HTTP/1.1 403 366 - Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)”";Classification probably based on http status code 403 and attempted access to sensitive password file;Correct & expressive
Dirb;4;"Reconnaissance, 
Directory Traversal";"IDS: “New characters in Apache Access request.”, “New character(s) detected”,
Raw Data: “GET /javascript/jquery/@ HTTP/1.1 404 363 - Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)”";Classification probably based on http status code 404 and special characters;Correct & expressive
Dirb;2;"Reconnaissance, 
Vulnerability Scanning";"IDS: “New event type”, “New path(es) detected”,
Raw Data: “script '/var/www/intranet.price.fox.org/wp-includes/sitemaps/info.php' not found or unable to stat”";Classification probably based on attempted access to php config file;Correct & expressive
Dirb;1;"Path Traversal,
Information Gathering";"IDS: “New characters in Apache Access request.”, “New character(s) detected”,
Raw Data: “GET /wp-includes/js/thickbox/~www HTTP/1.1 404 363 - Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)”";Classification probably based on http status code 404 and special characters;Correct & expressive
Dirb;1;"Information Gathering, 
Vulnerability Scanning";"IDS: “New event type”, “New path(es) detected”
Raw Data: “AH01276: Cannot serve directory /var/www/intranet.price.fox.org/wp-includes/js/thickbox/: No matching DirectoryIndex (index.html,index.cgi,index.pl,index.php,index.xhtml,index.htm) found, and server-generated directory index forbidden by Options directive”, ";Classification probably based on attempted access to WordPress directory;Correct & expressive
Dirb;3;"Information Gathering, 
Vulnerability Scanning, 
Exploitation for Credential Access";"IDS: “New event type.”, “New path(es) detected”,
Raw Data: “AH01630: client denied by server configuration: /var/www/intranet.price.fox.org/wp-includes/js/thickbox/.hta”";Classification probably based on attempted access to WordPress directory and sensitive file;Correct & expressive
Dirb;1;"Information Gathering,
Vulnerability Scanning,
Exploitation for Credential Access";"IDS: “New status code in Apache Access log.”, “New value(s) detected”,
Raw Data: “GET /wp-content/themes/go/dist/images/social/.hta HTTP/1.1 403 366 - Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)”";Classification probably based on attempted access to WordPress themes folder;Correct & expressive
Dirb;4;"Information Gathering,
Vulnerability Scanning";"IDS: “New characters in Apache Access request.”, “New character(s) detected”, 
Raw Data: “GET /wp-includes/js/tinymce/lost+found HTTP/1.1 404 363 - Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)”";Classification probably based on http status code 404 and special characters;Correct & expressive
Dirb;3;"Vulnerability Scanning,
Information Gathering,
Web Server Compromise";"IDS: “New event type.”, “New path(es) detected”
Raw Data: “script '/var/www/intranet.price.fox.org/wp-includes/js/tinymce/phpinfo.php' not found or unable to stat”";Classification probably based on attempted access to php config file in WordPress folder;Correct & expressive
Dirb;5;"Vulnerability Scanning, 
Information Gathering";"IDS: “New event type.”, “New path(es) detected”
Raw Data: “script '/var/www/intranet.price.fox.org/wp-content/themes/go/includes/classes/index.php' not found or unable to stat”";Classification probably based on attempted access to php config file in WordPress themes folder;Correct & expressive
Dirb;7;"Information Gathering,
Directory Traversal,
Reconnaissance";"IDS: “New characters in Apache Access request.”, “New character(s) detected”,
Raw Data: “GET /wp-content/themes/go/dist/images/admin/~logs HTTP/1.1 404 363 - Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)”";Classification probably based on attempted access to WordPress themes directory and special characters;Correct & expressive
