AT;#;Classification;Attack Line Content;Description;Correct Attack Type?
DNSteal;6;"Command and Control, 
Exfiltration";"IDS: “High entropy in DNS domain.”, “Value entropy anomaly detected”,
Raw Data: “dnsmasq[14460]: query[A] youtu.be from [IP]”, “dnsmasq[14460]: forwarded youtu.be to [IP]”";Classification probably based on dnsmasq and high entropy in DNS domain;Correct & expressive
DNSteal;1;"Reconnaissance, 
Discovery";"IDS: “Unusual occurrence frequencies of query records in DNS logs.”, “Frequency anomaly detected”
Raw Data: “dnsmasq[14522]: query[A] mail.price.fox.org from [IP]”";Classification probably based on dnsmasq and high frequency of query records;Too generic
Service Scans;3;"Brute Force,
Credential Access";"IDS: “New event type.”, “New path(es) detected”,
Raw Data: “taylorcruz-mail dovecot: imap-login: Disconnected (no auth attempts in 0 secs): user=<>, rip=192.168.130.77, lip=192.168.128.195, session=<hifuP9rVVNbAqIJN>”";Classification probably based on login attempts without auth attempts;Alternate explanation for alert
Service Scans;2;"Application Access Attempt,
Web Attack: Directory Traversal Attempt";"IDS: “New event type.”,  “New path(es) detected”, 
Raw Data: “AH01630: client denied by server configuration: /var/www/html/”";Classification probably based on  repeated unsuccessful access to web root directory;Alternate explanation for alert
Service Scans;1;"Network Scan,
Enumeration";"IDS: “New event type.”, “New path(es) detected”,
Raw Data: “TLS error on connection from [IP] (gnutls_handshake): An unexpected TLS packet was received.”";Classification probably based on protocol TLS and potential malformed TLS packet;Correct & expressive
Service Scans;2;"Network Scan,
Web Application Attack,
Vulnerability Scanning";"IDS: “New status code in Apache Access log.”, “New value(s) detected”,
Raw Data: “GET /nmaplowercheck1642508249 HTTP/1.1 403 363 - Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)”";Classification probably based on tool name nmap;Correct & expressive
Service Scans;1;"Network Scan,
Web Application Attack,
Vulnerability Scanning";"IDS: “New status code in Apache Access log.”, “New value(s) detected”,
Raw Data: “GET / HTTP/1.0 403 363 - - ”";Classification probably based on tool name apache and http status code 403;Correct & expressive
Service Scans;2;"Vulnerability Scanning, 
Reconnaissance";"IDS: “New status code in Apache Access log.”, “New value(s) detected”, 
Raw Data: “POST /sdk HTTP/1.1 403 3260 - Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)”";Classification probably based on tool name nmap and 403 status code;Correct & expressive
Service Scans;5;"Reconnaissance,
Vulnerability Scanning";"IDS: “New event type.”, “New path(es) detected”, 
Raw Data: “AH01630: client denied by server configuration: /var/www/html/HNAP1”";Classification probably based on attempted access to known web application paths;Correct & expressive
WPScan;1;"Vulnerability Scanning,
Reconnaissance";"IDS: “New status code in Apache Access log.”, “New value(s) detected”,
Raw Data: “GET /wp-content/plugins/akismet/ HTTP/1.1 403 3362 https://intranet.price.fox.org WPScan v3.8.20 (https://wpscan.com/wordpress-security-scanner)”";Classification probably based on tool name apache and http status code 403;Correct & expressive
WPScan;12;"Vulnerability Scanning, 
Reconnaissance";"IDS: “New request method in Apache Access log.”, “New value(s) detected” 
Raw Data: “HEAD /wp-content/plugins/analytics-for-wp/ HTTP/1.1 404 146 https://intranet.price.fox.org WPScan v3.8.20 (https://wpscan.com/wordpress-security-scanner)”";Classification probably based on tool name WPScan and 404 error code;Correct & expressive
WPScan;2;"Vulnerability Scanning,
Information Gathering";"IDS: “New request method in Apache Access log.”, “New value(s) detected”,
Raw Data: “HEAD /wp-content/themes/eCobiz/timthumb.php HTTP/1.1 404 146 https://intranet.price.fox.org WPScan v3.8.20 (https://wpscan.com/wordpress-security-scanner)”";Classification probably based on tool name WPScan and 404 error code;Correct & expressive
Dirb;2;"Information Gathering,
Discovery";"IDS: “New status code in Apache Access log.”, “New value(s) detected”,
Raw Data: “GET /javascript/jquery/.htpasswd_ HTTP/1.1 403 366 - Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)”";Classification probably based on tool name apache and http status code 403;Too generic
Dirb;4;"Information Gathering, 
Discovery";"IDS: “New characters in Apache Access request.”, “New character(s) detected”,
Raw Data: “GET /javascript/jquery/@ HTTP/1.1 404 363 - Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)”";Classification probably based on special characters and http status code 404;Too generic
Dirb;2;"Information Gathering,
Discovery";"IDS: “New event type.”, “New path(es) detected”,
Raw Data: “script '/var/www/intranet.price.fox.org/wp-includes/sitemaps/info.php' not found or unable to stat”";Classification probably based on attempted access to non-existent php script;Too generic
Dirb;3;"Path Traversal,
Information Gathering";"IDS: “New characters in Apache Access request.”, “New character(s) detected”,
Raw Data: “GET /wp-includes/js/thickbox/~www HTTP/1.1 404 363 - Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)’”";Classification probably based on special characters and http status code 404;Correct & expressive
Dirb;1;"Information Gathering,
Directory Traversal";"IDS: “New event type.”, “New path(es) detected”,
Raw Data: “AH01276: Cannot serve directory /var/www/intranet.price.fox.org/wp-includes/js/thickbox/: No matching DirectoryIndex (index.html,index.cgi,index.pl,index.php,index.xhtml,index.htm) found, and server-generated directory index forbidden by Options directive”";Classification probably based on attempted access to directory without index file;Correct & expressive
Dirb;1;"Information Gathering,
Defense Evasion";"IDS: “New event type.”, “New path(es) detected”,
Raw Data: “AH01630: client denied by server configuration: /var/www/intranet.price.fox.org/wp-includes/js/thickbox/.hta”";Classification probably based on attempted access to sensitive config or access control file;Too generic
Dirb;4;"Information Gathering,
Reconnaissance";"IDS: ”New status code in Apache Access log.”, ""New value(s) detected"",
Raw Data: “GET /wp-includes/js/tinymce/langs HTTP/1.1 301 515 - Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)”";Classification probably based on http status code 301 (Moved Permanently) and tool name Apache;Too generic
Dirb;2;"Web Server Compromise,
Information Gathering";"IDS: “New event type.”, “New path(es) detected”,
Raw Data: “script '/var/www/intranet.price.fox.org/wp-includes/js/tinymce/phpinfo.php' not found or unable to stat”";Classification probably based on attempted access to php config file;Too generic
Dirb;2;"Information Gathering,
Vulnerability Scanning";"IDS: “New event type.”, “New path(es) detected”,
Raw Data: “script '/var/www/intranet.price.fox.org/wp-content/themes/go/includes/classes/info.php' not found or unable to stat”";Classification probably based on attempted access to php config file;Correct & expressive
Dirb;1;"Web Application Attack,
Directory Traversal";"IDS: “New status code in Apache Access log.”, “New value(s) detected”,
Raw Data: “GET /wp-includes/js/tinymce/plugins/hr/ HTTP/1.1 403 366 - Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)”";Classification probably based on tool name apache and http status code 403;Correct & expressive
Dirb;5;"Information Gathering,
Path Traversal";"IDS: “New characters in Apache Access request.”, “New character(s) detected”, 
Raw Data: “GET /wp-content/themes/go/dist/images/admin/~logs HTTP/1.1 404 363 - Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)”";Classification probably based on special characters and http status code 404;Correct & expressive
Dirb;1;"Information Gathering,
Vulnerability Scanning";"IDS: “New event type.”, “New path(es) detected”,
Raw Data: “script '/var/www/intranet.price.fox.org/wp-content/themes/go/dist/images/admin/info.php' not found or unable to stat”";Classification probably based on attempted access to .php file in WordPress themes directory;Correct & expressive
