AT;#;Classification;Attack Line Content;Description;Correct Attack Type?
DNSteal;4;Valid Accounts;"IDS: “Dovecot Authentication Success.”, mitre – technique: “Valid Accounts”, id: “T1078”, tactic: “Defense Evasion, Persistence, Privilege Escalation, Initial Access”,
Raw Data: “jonesmorgan-mail dovecot: imap-login: Login: user=<susan.gregory>, method=PLAIN, rip=192.168.128.170, lip=192.168.128.170, mpid=20031, TLS, session=<Z7YRAMTVOOfAqICq>”";Classification probably based on repeated imap login attempts;Alternate explanation for alert
Network Scans;3;Valid Account Usage;"IDS: “Dovecot Authentication Success.”, mitre – technique: “Valid Accounts”, id: “T1078”, tactic: “Defense Evasion, Persistence, Privilege Escalation, Initial Access”,
Raw Data: “taylorcruz-mail dovecot: imap-login: Login: user=<damian.jordan>, method=PLAIN, rip=192.168.128.195, lip=192.168.128.195, mpid=4084, TLS, session=<kj6o/tnVnr3AqIDD>”";Classification probably based on repeated imap login attempts;Alternate explanation for alert
Network Scans;2;"Protocol Anomaly, 
TLS Evasion";IDS: “SURICATA TLS invalid record/traffic”, “SURICATA TLS invalid handshake message”;Classification probably based on protocol name TLS and invalid packets;Alternate explanation for alert
Network Scans;2;"TLS Evasion, 
Encrypted Command and Control";IDS: “SURICATA TLS invalid handshake message”, “SURICATA TLS invalid record/traffic”;Classification probably based on protocol name TLS and invalid packets;Alternate explanation for alert
Network Scans;2;TLS Evasion;"IDS: “IDS event.”
Raw Data: “SURICATA TLS invalid handshake message [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP}”";Classification probably based on protocol name TLS and invalid packets;Alternate explanation for alert
Network Scans;1;"TLS Evasion, 
Beaconing over Encrypted Channel";IDS: “SURICATA TLS invalid record/traffic”;Classification probably based on protocol name TLS and invalid packets;Alternate explanation for alert
Network Scans;2;"Protocol Abuse, 
Encrypted Channel Misuse";"IDS: “IDS event.”, 
Raw Data: “SURICATA TLS invalid record/traffic [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP}”";Classification probably based on protocol name TLS and invalid packets;Alternate explanation for alert
Network Scans;2;"Protocol Abuse, 
Encrypted Channel Misuse";"IDS: “SURICATA TLS invalid handshake message”, “SURICATA TLS invalid record/traffic”
";Classification probably based on protocol name TLS and invalid packets;Alternate explanation for alert
Network Scans;2;Valid Account Abuse;"IDS: “Dovecot Authentication Success.”, mitre – technique: “Valid Accounts”, id: “T1078”, tactic: “Defense Evasion”, “Persistence”, “Privilege Escalation”, “Initial Access”
Raw Data: “taylorcruz-mail dovecot: imap-login: Login: user=<damian.jordan>, method=PLAIN, rip=192.168.128.195, lip=192.168.128.195, mpid=4188, TLS, session=<ZPUbIdrV2L3AqIDD>”";Classification probably based on IDS mitre classification;Alternate explanation for alert
Service Scans;1;Valid Account Abuse;"IDS: “Dovecot Authentication Success.”, mitre – technique: “Valid Accounts”, id: “T1078”, tactic: “Defense Evasion”, “Persistence”, “Privilege Escalation”, “Initial Access”
Raw Data: “taylorcruz-mail dovecot: imap-login: Login: user=<damian.jordan>, method=PLAIN, rip=192.168.128.195, lip=192.168.128.195, mpid=4346, TLS, session=<XzJRP9rVHr7AqIDD>”";Classification probably based on IDS mitre classification;Alternate explanation for alert
Service Scans;3;"Reconnaissance, 
Lateral Movement";"IDS: “sshd: insecure connection attempt (scan).”, mitre – technique: “SSH”, id: “T1021.004”, tactic: “Lateral Movement”
Raw Data: “internal-share sshd[28182]: Did not receive identification string from [IP] port [port]”";Classification probably based on a connection attempt without identification string;Too generic
Service Scans;1;"SSH Reconnaissance, 
Lateral Movement Attempt";"IDS: “sshd: insecure connection attempt (scan).”, mitre – technique: “SSH”, id: “T1021.004”, tactic: “Lateral Movement”
Raw Data: “webserver sshd[25473]: Did not receive identification string from [IP] port [port]”";"Classification probably based on a connection attempt without identification string; scanning behavior is not represented";Alternate explanation for alert
Service Scans;1;"Protocol Abuse, 
SMTP Recon";"IDS: “First time this IDS alert is generated.”, 
Raw Data: “SURICATA SMTP invalid reply [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP}”";Classification probably based on protocol name SMTP;Alternate explanation for alert
Service Scans;1;Web Reconnaissance;"IDS: “Apache: Attempt to access forbidden file or directory.” 
Raw Data: “AH01630: client denied by server configuration: /var/www/html/”";Classification probably based on tool name apache and attempted access to forbidden file and directory;Too generic
Service Scans;1;"Web Reconnaissance, 
Scanning";"IDS: “Web server 400 error code.”
Raw Data: “GET /nmaplowercheck1642508249 HTTP/1.1 403 3260 - Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)”";Classification probably based on tool name nmap and http status code 403;Correct & expressive
Service Scans;1;Web Application Scanning;"IDS: “Web server 400 error code.”
Raw Data: “POST /sdk HTTP/1.1 403 363 - Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)”";Classification probably based on http status code 403 and tool name nmap;Correct & expressive
Service Scans;2;Web Directory Enumeration;"IDS: “Apache: Attempt to access forbidden file or directory.”,
Raw Data: “AH01630: client denied by server configuration: /var/www/html/”";Classification probably based on tool name apache and attempted access to forbidden file and directory;Correct & expressive
WPScan;2;WordPress Plugin Enumeration;"IDS: “Web server 400 error code.”, 
Raw Data: “HEAD /wp-content/plugins/change-wp-admin-login/ HTTP/1.1 404 146 https://intranet.price.fox.org WPScan v3.8.20 (https://wpscan.com/wordpress-security-scanner)”";Classification probably based on tool name WPScan;Correct & expressive
