AT;#;Classification;Attack Line Content;Description;Correct Attack Type?
DNSteal;6;"Command and Control, 
Exfiltration";"IDS: “High entropy in DNS domain.”, “Value entropy anomaly detected”,
Raw Data: “dnsmasq[14460]: query[A] youtu.be from [IP]”";Classification probably based on dnsmasq and high entropy in DNS domain;Correct & expressive
DNSteal;1;"Reconnaissance, 
Command and Control";"IDS: “Unusual occurrence frequencies of query records in DNS logs.”, “Frequency anomaly detected”,
Raw Data: “dnsmasq[14522]: query[A] mail.price.fox.org from [IP]“";Classification probably based on dnsmasq and high frequency of query records;Alternate explanation for alert
Service Scans;3;"Brute Force, 
Credential Stuffing";"IDS: “New event type.”, “New path(es) detected”
Raw Data: “taylorcruz-mail dovecot: imap-login: Disconnected (no auth attempts in 0 secs): user=<>, rip=192.168.130.77, lip=192.168.128.195, session=<hifuP9rVVNbAqIJN>”";Classification probably based on login attempts without auth attempts;Alternate explanation for alert
Service Scans;2;"Web Attack, 
Application Layer Attack";"IDS: “New event type.”, “New path(es) detected”
Raw Data: “AH01630: client denied by server configuration: /var/www/html/”";Classification probably based on  repeated unsuccessful access to web root directory;Alternate explanation for alert
Service Scans;1;"Network Scan, 
Denial of Service";"IDS: “New event type.”, “New path(es) detected”, 
Raw Data: “TLS error on connection from [192.168.130.77] (gnutls_handshake): An unexpected TLS packet was received.”";Classification probably based on TLS error received, potential malformed TLS paket;Correct & expressive
Service Scans;2;"Reconnaissance, 
Vulnerability Scanning";"IDS: “New status code in Apache Access log.”, “New value(s) detected”,
Raw Data: “GET /nmaplowercheck1642508249 HTTP/1.1 403 363 - Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)”, “POST /sdk HTTP/1.1 403 3260 - Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)”";Classification probably based on tool name nmap;Correct & expressive
Service Scans;1;Reconnaissance;"IDS: “New status code in Apache Access log.”, “New value(s) detected”,
Raw Data: “GET / HTTP/1.0 403 363 - - ”";Classification probably based on 403 http status code;Too generic
Service Scans;2;"Discovery, 
Vulnerability Scanning";"IDS: “New status code in Apache Access log.”, “New value(s) detected”,
Raw Data: “POST /sdk HTTP/1.1 403 3260 - Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)”";Classification probably based on tool name nmap and 403 status code;Correct & expressive
Service Scans;5;"Discovery, 
Vulnerability Scanning";"IDS: “New event type.”, “New path(es) detected”,
Raw Data: “AH01630: client denied by server configuration: /var/www/html/HNAP1”";Classification probably based on attempted access to known web application paths;Correct & expressive
WPScan;1;"Discovery, 
Vulnerability Scanning";"IDS: “New status code in Apache Access log.”, “New value(s) detected”,
Raw Data: “GET /wp-content/plugins/akismet/ HTTP/1.1 403 3362 https://intranet.price.fox.org WPScan v3.8.20 (https://wpscan.com/wordpress-security-scanner)”";Classification probably based on tool name WPScan and 403 error code;Correct & expressive
WPScan;2;"Discovery,
Vulnerability Scanning";"IDS: “New request method in Apache Access log.”, “New value(s) detected”,
Raw Data: “HEAD /wp-content/plugins/analytics-for-wp/ HTTP/1.1 404 146 https://intranet.price.fox.org WPScan v3.8.20 (https://wpscan.com/wordpress-security-scanner)”";Classification probably based on tool name WPScan and 404 error code;Correct & expressive
WPScan;10;"Vulnerability Scanning, 
Reconnaissance";"IDS: “New request method in Apache Access log.”, “New value(s) detected”,
Raw Data: “HEAD /wp-content/plugins/animated-typing-effect/ HTTP/1.1 404 146 https://intranet.price.fox.org WPScan v3.8.20 (https://wpscan.com/wordpress-security-scanner)”";Classification probably based on tool name WPScan and 404 status code;Correct & expressive
WPScan;2;"Vulnerability Scanning, 
Information Gathering";"IDS: “New request method in Apache Access log.”, “New value(s) detected”,
Raw Data: “HEAD /wp-content/themes/eCobiz/timthumb.php HTTP/1.1 404 146 https://intranet.price.fox.org WPScan v3.8.20 (https://wpscan.com/wordpress-security-scanner)”";Classification probably based on tool name WPScan and 404 status code;Correct & expressive
Dirb;2;"Information Gathering, 
Credential Access, 
Brute Force";"IDS: “New status code in Apache Access log.”, “New value(s) detected”,
Raw Data: “GET /javascript/jquery/.htpasswd HTTP/1.1 403 366 - Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)”";Classification probably based on attempted access to .htpasswd;Alternate explanation for alert
Dirb;3;"Information Gathering, 
Path Traversal, 
Discovery";"IDS: “New characters in Apache Access request.”, “New character(s) detected”,
Raw Data: “GET /javascript/jquery/@ HTTP/1.1 404 363 - Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)”";Classification probably based on special characters and 404 http code;Correct & expressive
Dirb;2;"Vulnerability Scanning,  
Information Gathering, 
Exploitation for Client Execution";"IDS: “New event type.”, “New path(es) detected”,
Raw Data: “script '/var/www/intranet.price.fox.org/wp-includes/sitemaps/info.php' not found or unable to stat”";Classification probably based on access to non-existent php file;Correct & expressive
