AT;#;Classification;Attack Line Content;Description;Correct Attack Type?
Network Scans;7;"Network Anomaly,
Evasion";IDS: “SURICATA TLS invalid record/traffic”, “SURICATA TLS invalid handshake message”;Classification probably based on tool name suricata and protocol TLS;Alternate explanation for alert
Network Scans;2;"TLS Protocol Anomaly,
Network Scan";"IDS: “IDS event.”, 
Raw Data: “SURICATA TLS invalid record/traffic [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP}”";Classification probably based on tool name suricata and protocol TLS and rule frequency;Correct & expressive
Network Scans;2;"TLS Protocol Anomaly, 
Network Scan";IDS: “SURICATA TLS invalid handshake message”;Classification probably based on tool name suricata and protocol TLS;Correct & expressive
Service Scans;3;"Network Scan, 
SSH Brute Force / Reconnaissance";"IDS: “sshd: insecure connection attempt (scan).”, mitre – technique: “SSH”, id: “T1021.004”, tactic: “Lateral Movement”,
Raw Data: “webserver sshd[25473]: Did not receive identification string from [IP] port [port]
Raw Data: “internal-share sshd[28182]: Did not receive identification string from [IP] port [port]”";Classification probably based on tool name sshd and IDS classification;Correct & expressive
Service Scans;1;Reconnaissance;"IDS: “sshd: insecure connection attempt (scan).”, mitre – technique: “SSH”, id: “T1021.004”, tactic: “Lateral Movement”
Raw Data: “webserver sshd[25473]: Did not receive identification string from [IP] port [port]”";Classification probably based on tool name sshd and IDS classification;Too generic
Service Scans;1;Reconnaissance;"IDS: “Web server 400 error code.”
Raw Data: “GET / HTTP/1.0 403 363 - - ”";Classification probably based on 403 http code and access to forbidden content;Too generic
Service Scans;1;"Reconnaissance, 
Exploitation";"IDS: “First time this IDS alert is generated.”,
Raw Data: “SURICATA SMTP invalid reply [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP}”";Classification probably based on tool name suricata and protocol SMTP;Too generic
Service Scans;2;Reconnaissance;"IDS: “Apache: Attempt to access forbidden file or directory”
Raw Data: “AH01630: client denied by server configuration: /var/www/html/”";Classification probably based on tool name apache and access attempt for forbidden files;Too generic
Service Scans;2;"Reconnaissance,
Vulnerability Scanning";"IDS: “Web server 400 error code.”,
Raw Data: “GET /nmaplowercheck1642508249 HTTP/1.1 403 3260 - Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nsml)”, “POST /sdk HTTP/1.1 403 363 - Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)”";Classification probably based on tool name nmap and 403 status code;Correct & expressive
Service Scans;1;"Reconnaissance,
Vulnerability Scanning";"IDS: “Apache: Attempt to access forbidden file or directory.”,
Raw Data: “AH01630: client denied by server configuration: /var/www/html/nmaplowercheck1642508249”";Classification probably based on tool name nmap;Correct & expressive
