AT;#;Classification;Attack Line Content;Description;Correct Attack Type?
DNSteal;10;"Legitimate Credentials Abuse, 
Initial Access";"IDS: “Dovecot Authentication Success.”, mitre - technique: “Valid Accounts”, id: “T1078”, tactic: “Defense Evasion”, “Persistence”, “Privilege Escalation”, “Initial Access”
Raw data: “jonesmorgan-mail dovecot: imap-login: Login: user=<susan.gregory>, method=PLAIN,  rip=192.168.128.170, lip=192.168.128.170, mpid=20031, TLS, session=<Z7YRAMTVOOfAqICq>”";Classification probably based on IDS mitre classification;Alternate explanation for alert
Network Scans;5;"Legitimate Credentials Abuse,  
Initial Access";"IDS: “Dovecot Authentication Success.”, mitre – technique: “Valid Accounts”, id: “T1078”, tactic: “ Defense Evasion”, “Persistence”, “Privilege Escalation”, “Initial Access”
Raw data: “taylorcruz-mail dovecot: imap-login: Login: user=<damian.jordan>, method=PLAIN”";Classification probably based on IDS mitre classification;Alternate explanation for alert
Network Scans;4;"Network Protocol Anomaly,
Evasion";IDS: “SURICATA TLS invalid record/traffic”;Classification probably based on tool name suricata and protocol name TLS;Too generic
Network Scans;3;"Network Protocol Anomaly,
Evasion";IDS: “SURICATA TLS invalid handshake message”;Classification probably based on tool name suricata and protocol name TLS;Too generic
Network Scans;3;"Network Protocol Anomaly,
Evasion";"IDS: “IDS event.”,
Raw Data: “SURICATA TLS invalid handshake message [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP}”";Classification probably based on tool name suricata and protocol name TLS;Too generic
Network Scans;1;"Network Protocol Anomaly,
Evasion";"IDS: “IDS event.”,
Raw Data: “SURICATA TLS invalid record/traffic [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP}”";Classification probably based on tool name suricata and protocol name TLS;Too generic
Service Scans;1;"Legitimate Credentials Abuse, 
Initial Access";"IDS: “Dovecot Authentication Success.”, mitre – technique: “Valid Accounts”, id: “T1078”, tactic: “Defense Evasion”, “Persistence”, “Privilege Escalation”, “Initial Access”
Raw Data: “taylorcruz-mail dovecot: imap-login: Login: user=<damian.jordan>, method=PLAIN, rip=192.168.128.195, lip=192.168.128.195, mpid=4346, TLS, session=<XzJRP9rVHr7AqIDD>”";Classification probably based on IDS mitre classification;Alternate explanation for alert
Service Scans;4;"Reconnaissance, 
Lateral Movement";"IDS: “sshd: insecure connection attempt (scan)”, mitre -  technique: “SSH”, id: “T1021.004”, tactic: “Lateral Movement”
Raw Data: internal-share sshd[28182]: Did not receive identification string from 172.17.130.196 port 55898";Classification probably based on logging message;Too generic
Service Scans;1;"Web Attack,
Reconnaissance";"IDS: “Web server 400 error code.”
Raw Data: “GET / HTTP/1.0 403 363 - - ”";Classification probably based on http status code 403;Too generic
Service Scans;1;"Network Protocol Anomaly, 
Evasion";"IDS: “First time this IDS alert is generated.”, 
Raw Data: “SURICATA SMTP invalid reply [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP}”";Classification probably based on tool name suricata and protocol name SMTP;Too generic
Service Scans;3;"Web Attack, 
Reconnaissance";"IDS: “Apache: Attempt to access forbidden file or directory.”
Raw Data: “AH01630: client denied by server configuration: /var/www/html/”";Classification probably based on attempted access to web server root directory;Too generic
Service Scans;2;"Vulnerability Scanning,
Reconnaissance";"IDS: “Web server 400 error code.”
Raw data: “GET /nmaplowercheck1642508249 HTTP/1.1 403 3260 Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)”";Classification probably based on tool name nmap;Correct & expressive
WPScan;11;"Vulnerability Scanning, 
Reconnaissance";"IDS: “Web server 400 error code.”,
Raw data: “HEAD /wp-content/plugins/change-wp-admin-login/ HTTP/1.1 404 146 https://intranet.price.fox.org WPScan v3.8.20 (https://wpscan.com/wordpress-security-scanner)”";Classification probably based on http status code 404 and tool name WPScan;Correct & expressive
WPScan;5;"Vulnerability Scanning,
Reconnaissance";"IDS: “Multiple web server 400 error codes from same source ip.”, mitre – technique: “Vulnerability Scanning”, id: “T1595.002”, tactic: “Reconnaissance”
Raw Data: “HEAD /wp-content/plugins/clean-image-filenames/ HTTP/1.1 404 146 https://intranet.price.fox.org WPScan v3.8.20 (https://wpscan.com/wordpress-security-scanner)”";Classification probably based on tool name WPScan;Correct & expressive
WPScan;1;"Legitimate Credentials Abuse, 
Initial Access";"IDS: “Dovecot Authentication Success.”, mitre – technique: “Valid Accounts”, id: “T1078”, tactic: “Defense Evasion”, “Persistence”, “Privilege Escalation”, “Initial Access”
Raw Data: “taylorcruz-mail dovecot: imap-login: Login: user=<christopher.friedman>, method=PLAIN, rip=192.168.128.195, lip=192.168.128.195, mpid=4382, TLS, session=<8yfdQ9rVLL7AqIDD>”";Classification probably based on protocol name imap and IDS mitre classification;Alternate explanation for alert
Dirb;4;"Reconnaissance, 
Web Attack";"IDS: “Web server 400 error code.”, 
Raw data: “GET /academics HTTP/1.1 404 363 - Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)”";Classification probably based on http status code 404;Too generic
Dirb;3;"Vulnerability Scanning, 
Reconnaissance";"IDS: “Multiple web server 400 error codes from same source ip.”, mitre – technique: “Vulnerability Scanning”, id: “T1595.002”, tactic: “Reconnaissance”
Raw Data: “GET /accountants HTTP/1.1 404 363 - Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)”";Classification probably based on IDS mitre classification;Correct & expressive
Dirb;1;Reconnaissance;"IDS: “Web server 400 error code.”
Raw Data: “GET /beheer HTTP/1.1 404 363 - Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)”";Classification probably based on http status code 404;Too generic
