AT;#;Classification;Attack Line Content;Description;Correct Attack Type?
DNSteal;10;Credential Access;"IDS: “Dovecot Authentication Success.”, mitre – technique: “Valid Accounts”, id: “T1078”, tactic: “Defense Evasion”, “Persistence”, “Privilege Escalation”, “Initial Access”,
Raw Data: “jonesmorgan-mail dovecot: imap-login: Login: user=<susan.gregory>, method=PLAIN, rip=192.168.128.170, lip=192.168.128.170, mpid=20031, TLS, session=<Z7YRAMTVOOfAqICq>”";Classification probably based on imag login and IDS mitre classification;Alternate explanation for alert
Network Scans;3;Valid Account Abuse;"IDS: “Dovecot Authentication Success.”, mitre – technique: “Valid Accounts”, id: “T1078”, tactic: “Defense Evasion”, “Persistence”, “Privilege Escalation”, “Initial Access”, 
Raw Data: “taylorcruz-mail dovecot: imap-login: Login: user=<damian.jordan>, method=PLAIN, rip=192.168.128.195, lip=192.168.128.195, mpid=4084, TLS, session=<kj6o/tnVnr3AqIDD>”,";Classification probably based on imag login and IDS mitre classification;Alternate explanation for alert
Network Scans;7;"TLS Evasion,
Encrypted C2";IDS: “SURICATA TLS invalid record/traffic”, “SURICATA TLS invalid handshake message”,;Classification probably based on tool name Suricata and protocol TLS;Alternate explanation for alert
Network Scans;4;"Protocol Anomaly, 
Encrypted Traffic Evasion";IDS: “SURICATA TLS invalid record/traffic”, “SURICATA TLS invalid handshake message”,;Classification probably based on tool name Suricata and protocol TLS;Alternate explanation for alert
Service Scans;3;"Reconnaissance,
Lateral Movement";"IDS: “sshd: insecure connection attempt (scan).”, mitre – technique: “SSH”, id: “T1021.004”, tactic: “Lateral Movement”
Raw Data: “internal-share sshd[28182]: Did not receive identification string from [IP] port [Port]”";Classification probably based on tool name SSH and the identification string that has not been received;Too generic
Service Scans;1;SSH Scan;"IDS: “sshd: insecure connection attempt (scan).”, mitre – technique: “SSH”, id: “T1021.004”, tactic: “Lateral Movement”
Raw Data: “webserver sshd[25473]: Did not receive identification string from [IP] port [Port]”";Classification probably based on tool name SSH and the identification string that has not been received;Correct & expressive
Service Scans;1;"Protocol Misuse, 
Malicious SMTP Activity";IDS: “SURICATA SMTP invalid reply [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP}”;Classification probably based on tool name Suricata and protocol SMTP;Alternate explanation for alert
Service Scans;3;Unauthorized Directory Access Attempt;"IDS: “Attempt to access forbidden file or directory.”,
Raw Data: “AH01630: client denied by server configuration: /var/www/html/”";Scanning is not represented in the classification;Correct & expressive
Service Scans;2;Reconnaissance;"IDS: “Web server 400 error code.”, 
Raw Data: “GET /nmaplowercheck1642508249 HTTP/1.1 403 3260 - Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)”";Tool name (nmap) did not make the results more detailed;Too generic
WPScan;2;WordPress Plugin Enumeration;"IDS: “Web server 400 error code.”, mitre – technique: “Vulnerability Scanning”, id: “T1595.002”, tactic: “Reconnaissance”
Raw Data: “HEAD /wp-content/plugins/clean-image-filenames/ HTTP/1.1 404 146 https://intranet.price.fox.org WPScan v3.8.20 (https://wpscan.com/wordpress-security-scanner)”";Classification probably based on tool name WPScan;Correct & expressive
