AT;#;Classification;Attack Line Content;Description;Correct Attack Type?
DNSteal;6;"DNS tunneling,
Data exfiltration";"IDS: “High entropy in DNS domain.”, “Value entropy anomaly detected”,
Raw Data: “dnsmasq[14460]: query[A] youtu.be from [IP]”, “dnsmasq[14460]: forwarded youtu.be to [IP]”";Classification probably based on protocol name DNS and high entropy in DNS domain;Correct & expressive
Service Scans;3;"Credential Access,
Brute Force";"IDS: “New event type.”, “New path(es) detected”,
Raw Data: “taylorcruz-mail dovecot: imap-login: Disconnected (no auth attempts in 0 secs): user=<>, rip=192.168.130.77, lip=192.168.128.195, session=<hifuP9rVVNbAqIJN>”";Classification probably based on successful imap logins;Alternate explanation for alert
Service Scans;4;"Reconnaissance,
Network Scanning";"IDS: “New event type.”, “New path(es) detected”
Raw Data: “no host name found for IP address [IP]”";Classification probably based on reverse DNS lookup;Correct & expressive
Service Scans;2;"Access Denied,
Brute Force or Misconfiguration";"IDS: “New event type.”, “New path(es) detected”,
Raw Data: “AH01630: client denied by server configuration: /var/www/html/”";Classification probably based on attempted access to web server root directory;Alternate explanation for alert
Service Scans;1;"TLS Exploitation,
Protocol Manipulation";"IDS: “New event type.”, “New path(es) detected”
Raw Data: “TLS error on connection from [IP] (gnutls_handshake): An unexpected TLS packet was received.”";Classification probably based on protocol name TLS and invalid TLS packet;Alternate explanation for alert
Service Scans;3;"Port Scanning,
Service Enumeration";"IDS: “New status code in Apache Access log.”, “New value(s) detected”,
Raw Data: “GET /nmaplowercheck1642508249 HTTP/1.1 403 363 - Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)”";Classification probably based on tool name nmap and http status code 403;Correct & expressive
Service Scans;2;"Reconnaissance,
Web Application Scanning";"IDS: “New status code in Apache Access log.”, “New value(s) detected”,
Raw Data: “POST /sdk HTTP/1.1 403 3260 - Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)”";Classification probably based on tool name apache and http status code 403;Correct & expressive
Service Scans;5;"Initial Access,
Web Server Attack";"IDS: “New event type.”, “New path(es) detected”,
Raw Data: “AH01630: client denied by server configuration: /var/www/html/HNAP1”";Classification probably based on attempted access to web server root directory;Too generic
WPScan;1;"Reconnaissance,
Vulnerability Scanning";"IDS: “New status code in Apache Access log.”, “New value(s) detected”,
Raw Data: “GET /wp-content/plugins/akismet/ HTTP/1.1 403 3362 https://intranet.price.fox.org WPScan v3.8.20 (https://wpscan.com/wordpress-security-scanner)”";Classification probably based on tool name WPScan and http status code 403;Correct & expressive
WPScan;9;"Reconnaissance, 
Vulnerability Scanning";"IDS: “New request method in Apache Access log.”, “New value(s) detected”,
Raw Data: “HEAD /wp-content/plugins/analytics-for-wp/ HTTP/1.1 404 146 https://intranet.price.fox.org WPScan v3.8.20 (https://wpscan.com/wordpress-security-scanner)”";Classification probably based on tool name WPScan and http status code 404;Correct & expressive
WPScan;3;"Reconnaissance, 
File Enumeration";"IDS: “New request method in Apache Access log.”, “New value(s) detected”, 
Raw Data: “HEAD /wp-content/themes/ecobiz/thumb/timthumb.php HTTP/1.1 404 146 https://intranet.price.fox.org WPScan v3.8.20 (https://wpscan.com/wordpress-security-scanner)”";Classification probably based on tool name apache and attempted access to WordPress themes directory;Correct & expressive
WPScan;2;"Reconnaissance, 
WordPress scanning";"IDS: “New request method in Apache Access log.”, “New value(s) detected”,
Raw Data: “HEAD /wp-content/themes/eCobiz/timthumb.php HTTP/1.1 404 146 https://intranet.price.fox.org WPScan v3.8.20 (https://wpscan.com/wordpress-security-scanner)”";Classification probably based on tool name apache and attempted access to WordPress themes directory;Correct & expressive
Dirb;2;"Credential Access,
File access probing";"IDS: “New status code in Apache Access log.”, “New value(s) detected”,
Raw Data: “GET /javascript/jquery/.htpasswd HTTP/1.1 403 366 - Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)”";Classification probably based on attempted access to sensitive file and http status code 403;Correct & expressive
Dirb;4;"Injection,
Suspicious request payload";"IDS: “New characters in Apache Access request.”, “New character(s) detected”,
Raw Data: “GET /javascript/jquery/@ HTTP/1.1 404 363 - Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)”";Classification probably based on special characters used and http status code 404;Too generic
Dirb;2;"Exploitation,
File inclusion";"IDS: “New event type.”, “New path(es) detected”,
Raw Data: “script '/var/www/intranet.price.fox.org/wp-includes/sitemaps/info.php' not found or unable to stat”";Classification probably based on attempted access to WordPress php scripts;Alternate explanation for alert
Dirb;1;"Reconnaissance, 
Path Traversal Attempt";"IDS: “New characters in Apache Access request.”, “New character(s) detected,
Raw Data: “GET /wp-includes/js/thickbox/~www HTTP/1.1 404 363 - Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)”";Classification probably based on special characters used and http status code 404;Correct & expressive
Dirb;1;"Reconnaissance,
Directory Enumeration";"IDS: “New event type.”, “New path(es) detected”,
Raw Data: “AH01276: Cannot serve directory /var/www/intranet.price.fox.org/wp-includes/js/thickbox/: No matching DirectoryIndex (index.html,index.cgi,index.pl,index.php,index.xhtml,index.htm) found, and server-generated directory index forbidden by Options directive”";Classification probably based on attempted access to WordPress directory without directory index;Correct & expressive
Dirb;1;"Access Denial, 
Reconnaissance";"IDS: “New event type.”, “New path(es) detected”
Raw Data: “AH01630: client denied by server configuration: /var/www/intranet.price.fox.org/wp-includes/js/thickbox/.hta”";Classification probably based on attempted access to sensitive file in WordPress folder;Too generic
Dirb;1;Reconnaissance;"IDS: “New characters in Apache Access request.”, “New character(s) detected”,
Raw Data: “GET /wp-includes/js/tinymce/lost+found HTTP/1.1 404 363 - Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)”";Classification probably based on special characters used and http status code 404;Too generic
Dirb;2;"Reconnaissance,  
File Inclusion Attempt";"IDS: “New event type.”, “New path(es) detected”, 
Raw Data: “script '/var/www/intranet.price.fox.org/wp-includes/js/tinymce/phpinfo.php' not found or unable to stat”";Classification probably based on attempted access to sensitive file in WordPress folder;Alternate explanation for alert
