AT;#;Classification;Attack Line Content;Description;Correct Attack Type?
Network Scans;3;"Valid Accounts – Successful Login,
Initial Access";"IDS: “Dovecot Authentication Success.”, mitre – technique: “Valid Accounts”, id: “T1078”, tactic: “Defense Evasion, Persistence, Privilege Escalation, Initial Access”,
Raw Data: “taylorcruz-mail dovecot: imap-login: Login: user=<damian.jordan>, method=PLAIN, rip=192.168.128.195, lip=192.168.128.195, mpid=4084, TLS, session=<kj6o/tnVnr3AqIDD>”";Classification probably based on successful IMAP logins;Alternate explanation for alert
Network Scans;7;"Network Anomaly, 
Evasion";IDS: “SURICATA TLS invalid record/traffic”, “SURICATA TLS invalid handshake message”;Classification probably based on tool name Suricata and protocol name TLS;Alternate explanation for alert
Network Scans;4;"TLS Protocol Anomaly,
Network Scan";IDS: “SURICATA TLS invalid record/traffic”, “Suricata: Alert - SURICATA TLS invalid handshake message”;Classification probably based on tool name Suricata and protocol name TLS;Correct & expressive
Network Scans;3;"Valid Accounts, 
Initial Access";"IDS: “Dovecot Authentication Success.”, mitre - technique: “Valid Accounts”, id: “T1078”, tactic: “Defense Evasion”, “Persistence”, “Privilege Escalation”, “Initial Access”
Raw Data: “taylorcruz-mail dovecot: imap-login: Login: user=<damian.jordan>, method=PLAIN, rip=192.168.128.195, lip=192.168.128.195, mpid=4188, TLS, session=<ZPUbIdrV2L3AqIDD>”";Classification probably based on successful IMAP logins;Alternate explanation for alert
Service Scans;3;"Network Scan, 
Reconnaissance";"IDS: “sshd: insecure connection attempt (scan).”, mitre – technique: “SSH”, id: “T1021.004”, tactic: “Lateral Movement”,
Raw Data: “internal-share sshd[28182]: Did not receive identification string from [IP] port [port]”";Classification probably based on SSH description indicating scanning behavior;Correct & expressive
Service Scans;1;"SSH Scan, 
Reconnaissance";"IDS: “sshd: insecure connection attempt (scan).”, mitre – technique: “SSH”, id: “T1021.004”, tactic: “Lateral Movement”, 
Raw Data: “webserver sshd[25473]: Did not receive identification string from [IP] port [port]”";Classification probably based on SSH description indicating scanning behavior;Alternate explanation for alert
Service Scans;1;"Web Scan,
Reconnaissance";"IDS: “Web server 400 error code.”
Raw Data: “GET / HTTP/1.0 403 363 - - ”";Classification probably based on http status code 403 and attempted access to root;Correct & expressive
Service Scans;1;"Protocol Anomaly,
Reconnaissance";"IDS: “First time this IDS alert is generated.”,
Raw Data: “SURICATA SMTP invalid reply [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP}”";Classification probably based on protocol name SMTP and invalid reply;Alternate explanation for alert
Service Scans;2;"Directory Traversal Attempt,
Web Attack";"IDS: “Apache: Attempt to access forbidden file or directory.”,
Raw Data: “AH01630: client denied by server configuration: /var/www/html/”";Classification probably based on attempted access to default root folder of web server;Correct & expressive
Service Scans;2;"Web Scan,
Vulnerability Scan,
Reconnaissance";"IDS: “Web server 400 error code.”,
Raw Data: “GET /nmaplowercheck1642508249 HTTP/1.1 403 3260 - Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)”";Classification probably based on tool name nmap and 403 error code;Correct & expressive
Service Scans;1;"Directory Traversal Attempt,
Web Attack,
Vulnerability Scan ";"IDS: “Apache: Attempt to access forbidden file or directory.”,
Raw Data: “AH01630: client denied by server configuration: /var/www/html/nmaplowercheck1642508249”";Classification probably based on tool name nmap and attempted access to forbidden file;Correct & expressive
WPScan;1;"Vulnerability Scan,
Reconnaissance";"IDS: “Web server 400 error code.”, 
Raw Data: “HEAD /wp-content/plugins/change-wp-admin-login/ HTTP/1.1 404 146 https://intranet.price.fox.org WPScan v3.8.20 (https://wpscan.com/wordpress-security-scanner)”";Classification probably based on tool name WPScan and http status code 404;Correct & expressive
WPScan;1;"Vulnerability Scan, 
Reconnaissance";"IDS: “Multiple web server 400 error codes from same source ip.”, mitre – technique: “Vulnerability Scanning”, id: “T1595.002”, tactic: “Reconnaissance”
Raw Data: “HEAD /wp-content/plugins/clean-image-filenames/ HTTP/1.1 404 146 https://intranet.price.fox.org WPScan v3.8.20 (https://wpscan.com/wordpress-security-scanner)”";Classification probably based on IDS mitre classification and http status code 404;Correct & expressive
WPScan;6;"Vulnerability Scanning, 
Reconnaissance";"IDS: “Web server 400 error code.”, 
Raw Data: “HEAD /wp-content/plugins/cloudflare/ HTTP/1.1 404 146 https://intranet.price.fox.org WPScan v3.8.20 (https://wpscan.com/wordpress-security-scanner)”";Classification probably based on tool name WPScan and http status code 404;Correct & expressive
WPScan;4;"Vulnerability Scanning,  
Reconnaissance";"IDS: “Multiple web server 400 error codes from same source ip.”, mitre – technique: “Vulnerability Scanning”, id: “T1595.002”, tactic: “Reconnaissance”
Raw Data: “HEAD /wp-content/plugins/constant-contact-forms/ HTTP/1.1 404 146 https://intranet.price.fox.org WPScan v3.8.20 (https://wpscan.com/wordpress-security-scanner)”";Classification probably based on IDS mitre classification and http status code 404;Correct & expressive
WPScan;4;"Vulnerability Scanning,
Information Gathering";"IDS: “Web server 400 error code.”, 
Raw Data: “HEAD /wp-content/plugins/regenerate-thumbnails-advanced/ HTTP/1.1 404 146 https://intranet.price.fox.org WPScan v3.8.20 (https://wpscan.com/wordpress-security-scanner)”";Classification probably based on tool name WPScan and http status code 404;Correct & expressive
WPScan;1;"Valid Accounts,  
Initial Access";"IDS: “Dovecot Authentication Success.”, mitre – technique: “Valid Accounts”, id: “T1078”, tactic: “Defense Evasion”, “Persistence”, “Privilege Escalation”, “Initial Access”
Raw Data: “taylorcruz-mail dovecot: imap-login: Login: user=<christopher.friedman>, method=PLAIN, rip=192.168.128.195, lip=192.168.128.195, mpid=4382, TLS, session=<8yfdQ9rVLL7AqIDD>”";Classification probably based on IDS mitre classification and successful imap login;Alternate explanation for alert
Dirb;4;"Vulnerability Scanning, 
Information Gathering";"IDS: “Web server 400 error code.”,
Raw Data: “GET /academics HTTP/1.1 404 363 - Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)”";Classification probably based on http status code 404 and repeated requests from same source;Correct & expressive
Dirb;1;"Vulnerability Scanning,
Information Gathering";"IDS: “Multiple web server 400 error codes from same source ip.”, mitre – technique: “Vulnerability Scanning”, id: “T1595.022”, tactic: “Reconnaissance”
Raw Data: “GET /accountants HTTP/1.1 404 363 - Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)”";Classification probably based on http status code 404 and repeated requests from same source;Correct & expressive
Dirb;2;"Vulnerability Scanning, 
Reconnaissance";"IDS: “Multiple web server 400 error codes from same source ip.”, mitre – technique: “Vulnerability Scanning”, id: “T1595.022”, tactic: “Reconnaissance”
Raw Data: “GET /bea HTTP/1.1 404 363 - Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)”";Classification probably based on http status code 404 and repeated requests from same source;Correct & expressive
Dirb;7;"Vulnerability Scanning, 
Reconnaissance";"IDS: “Web server 400 error code.”,
Raw Data: “GET /beheer HTTP/1.1 404 363 - Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)”";Classification probably based on http status code 404 and repeated requests from same source;Correct & expressive
Dirb;1;"Information Gathering,
Reconnaissance,
Exploitation Attempt";"IDS: “Apache: Attempt to access forbidden file or directory.”,
Raw Data: “AH01630: client denied by server configuration: /var/www/intranet.price.fox.org/wp-content/plugins/.htpasswd_”";Classification probably based on attempted access to forbidden file or directory;Too generic
Dirb;6;"Valid Accounts Abuse,
Initial Access";"IDS: “Dovecot Authentication Success.”, mitre – technique: “Valid Accounts”, id: “T1078”, tactic: “Defense Evasion”, “Persistence”, “Privilege Escalation”, “Initial Access”
Raw Data: “miller-mail dovecot: imap-login: Login: user=<megan.johnson>, method=PLAIN, rip=192.168.129.212, lip=192.168.129.212, mpid=28005, TLS, session=<o6XRidrVbpzAqIHU>”";Classification probably based on IDS mitre classification and successful imap login;Alternate explanation for alert
Password Cracking;2;"Protocol Anomaly,
Evasion";IDS: “Suricata: Alert - SURICATA HTTP unable to match response to request”;Classification probably based on tool name Suricata and protocol name HTTP;Alternate explanation for alert
Password Cracking;2;"Valid Accounts Abuse,
Initial Access";"IDS: “Dovecot Authentication Success.”, mitre – technique: “Valid Accounts”, id: “T1078”, tactic: “Defense Evasion”, “Persistence”, “Privilege Escalation”, “Initial Access”
Raw Data: “whittaker-mail dovecot: imap-login: Login: user=<john.hammond>, method=PLAIN, rip=192.168.131.228, lip=192.168.131.228, mpid=32153, TLS, session=<mBtfmtrVyKjAqIPk>”";Classification probably based on IDS mitre classification and successful imap login;Alternate explanation for alert
Password Cracking;1;"Brute Force,
Credential Access";"IDS: “PAM: User login failed.”, mitre – technique: “Password Guessing”, id: “T1110.001”, tactic: “Credential Access”
Raw Data: “taylorcruz-mail auth: pam_unix(dovecot:auth): authentication failure; logname= uid=0 euid=0 tty=dovecot ruser=christopher.friedman rhost=192.168.128.195 user=christopher.friedman”";Classification probably based on IDS mitre classification and PAM user login failure;Correct & expressive
Privilege Escalation;1;"Privilege Escalation,
Account Manipulation";"IDS: “User successfully changed UID.”, mitre – technique: “Valid Accounts”, id: “T1078”, tactic: “Defense Evasion”, “Persistence”, “Privilege Escalation”, “Initial Access”,
Raw Data: “intranet-server su[28816]: + /dev/pts/1 www-data:phopkins”";Classification probably based on tool name su;Correct & expressive
Privilege Escalation;1;Valid Accounts;"IDS: “PAM: Login session opened.”, mitre – technique: “Valid Accounts”, id: “T1078”, tactic: “Defense Evasion”, “Persistence”, “Privilege Escalation”, “Initial Access”,
Raw Data: “intranet-server su[28816]: pam_unix(su:session): session opened for user phopkins by (uid=33)”";Classification probably based on IDS mitre classification;Alternate explanation for alert
Privilege Escalation;1;Valid Accounts;"IDS: “PAM: Login session opened.”, mitre – technique: “Valid Accounts”, id: “T1078”, tactic: “Defense Evasion”, “Persistence”, “Privilege Escalation”, “Initial Access”, 
Raw Data: “intranet-server systemd: pam_unix(systemd-user:session): session opened for user phopkins by (uid=0)”";Classification probably based on IDS mitre classification;Alternate explanation for alert
Privilege Escalation;1;"Privilege Escalation, 
Defense Evasion";"IDS: “Successful sudo to ROOT executed.”, mitre – technique: “Sudo and Sudo Caching”, id: “T1548.003”, tactic: “Privilege Escalation”, “Defense Evasion”, 
Raw Data: “intranet-server sudo: phopkins : TTY=pts/1 ; PWD=/var/www/intranet.price.fox.org/wp-content/uploads/2022/01 ; USER=root ; COMMAND=list”";Classification probably based on IDS mitre classification and tool name sudo;Correct & expressive
Privilege Escalation;1;Valid Accounts;"IDS: “PAM: Login session opened.”, mitre – technique: “Valid Accounts”, id: “T1078”, tactic: “Defense Evasion”, “Persistence”, “Privilege Escalation”, “Initial Access”, 
Raw Data: “intranet-server sudo: pam_unix(sudo:session): session opened for user root by (uid=0)”";Classification probably based on IDS mitre classification and tool name sudo;Alternate explanation for alert
Privilege Escalation;1;"Privilege Escalation,
Defense Evasion,
Discovery";"IDS: “Successful sudo to ROOT executed.”, mitre – technique: “Sudo and Sudo Caching”, id: “T1548.003”, tactic: “Privilege Escalation”, “Defense Evasion”
Raw Data: “intranet-server sudo: phopkins : TTY=pts/1 ; PWD=/var/www/intranet.price.fox.org/wp-content/uploads/2022/01 ; USER=root ; COMMAND=/bin/ls -laR /root/”";Classification probably based on IDS mitre classification and tool name sudo;Correct & expressive
Privilege Escalation;1;"Privilege Escalation,
Defense Evasion,
Credential Access";"IDS: “Successful sudo to ROOT executed.”, mitre – technique: “Sudo and Sudo Caching”, id: “T1548.003”, tactic: “Privilege Escalation”, “Defense Evasion”,
Raw Data: “intranet-server sudo: phopkins : TTY=pts/1 ; PWD=/var/www/intranet.price.fox.org/wp-content/uploads/2022/01 ; USER=root ; COMMAND=/bin/cat /etc/shadow”";Classification probably based on IDS mitre classification and tool name sudo;Correct & expressive
Privilege Escalation;1;Valid Accounts;"IDS: “PAM: Login session opened.”, mitre – technique: “Valid Accounts”, id: “T1078”, tactic: “Defense Evasion”, “Persistence”, “Privilege Escalation”, “Initial Access”,
Raw Data: “intranet-server sudo: pam_unix(sudo:session): session opened for user root by (uid=0)”";Classification probably based on IDS mitre classification and tool name sudo;Alternate explanation for alert
;79;;;;
